City,Latitude,Longitude,Temperature,Pressure,Humidity,id
Aigues Mortes,43.5661521,4.19154,8.31975,1009.9,58.925,102716851.0
Aix en Provence,43.5298424,5.4474738,5.8995,1007.45,82.65,102741999.0
Amiens,49.8941708,2.2956951,3.27025,1018.325,76.85,116694242.0
Annecy,45.8992348,6.1288847,1.8960000000000001,1012.675,92.375,107354879.0
Ariege,42.9927428,1.6124975,3.3765,1016.825,90.875,103752713.0
Avignon,43.9492493,4.8059012,6.05675,1009.425,74.075,102193665.0
Bayeux,49.2764624,-0.7024738,4.66825,1019.175,73.6,276101915.0
Bayonne,43.4945144,-1.4736657,7.118,1018.325,81.6,281543649.0
Besancon,47.2380222,6.0243622,2.3805,1014.375,86.275,110217040.0
Biarritz,43.4832523,-1.5592776,7.4915,1018.275,79.45,283462568.0
Bormes les Mimosas,43.1506968,6.3419285,8.793,1006.175,76.025,101877567.0
Carcassonne,43.2130358,2.3491069,4.9792499999999995,1014.8,87.125,104358485.0
Cassis,43.2140359,5.5396318,8.2325,1007.1,80.025,102437647.0
Chateau du Haut Koenigsbourg,48.2495226,7.345492300000001,-0.70075,1015.725,81.85,136411398.0
Collioure,42.52505,3.0831554,7.992,1011.575,68.875,103975931.0
Colmar,48.0777517,7.357964100000001,2.459,1015.475,80.925,136331572.0
Dijon,47.3215806,5.0414701,2.426,1014.925,82.95,111540922.0
Eguisheim,48.0447968,7.307961799999999,2.42575,1015.45,81.7,136516441.0
Gorges du Verdon,43.7496562,6.3285616,3.4307499999999997,1006.55,86.6,101828497.0
Grenoble,45.1875602,5.7357819,3.3345,1012.075,96.375,108194303.0
La Rochelle,46.1591126,-1.1520434,5.694,1018.175,77.875,280762466.0
Le Havre,49.4938975,0.10797320000000002,5.292,1018.925,70.175,116797886.0
Lille,50.6365654,3.0635282,3.3475,1018.575,72.95,118533424.0
Lyon,45.7578137,4.8320114,3.6072499999999996,1013.5,86.25,108560795.0
Marseille,43.2961743,5.3699525,8.07725,1007.425,79.325,102392404.0
Mont Saint Michel,48.6359541,-1.511459954959514,4.358,1019.35,77.8,276970680.0
Montauban,44.0175835,1.3549991,4.5455,1016.25,84.55,105191250.0
Nimes,43.8374249,4.3600687,7.0095,1009.9,60.725,102307633.0
Paris,48.8534951,2.3483915,4.371499999999999,1017.65,67.425,114827617.0
Rouen,49.4404591,1.0939658,3.4827500000000002,1018.525,77.3,116490697.0
Saintes Maries de la mer,43.4515922,4.4277202,8.5565,1009.6,62.65,102529062.0
St Malo,48.649518,-2.0260409,6.07675,1019.55,70.725,277106181.0
Strasbourg,48.584614,7.750712699999999,2.75775,1016.025,73.275,136466809.0
Toulouse,43.6044622,1.4442469,4.74525,1016.35,84.725,376688237.0
Uzes,44.0121279,4.4196718,5.9525,1010.075,66.025,106427400.0
